region,date,iHosp,iICU,inHosp,inICU
ARA,2020-03-01,8,0,8,0
ARA,2020-03-02,10,1,17,1
ARA,2020-03-03,4,1,20,2
ARA,2020-03-04,10,2,28,4
ARA,2020-03-05,14,1,41,5
ARA,2020-03-06,16,2,45,7
ARA,2020-03-07,10,0,50,7
ARA,2020-03-08,7,2,53,9
ARA,2020-03-09,18,0,49,9
ARA,2020-03-10,18,2,57,11
ARA,2020-03-11,30,3,82,14
ARA,2020-03-12,26,3,100,17
ARA,2020-03-13,46,7,125,23
ARA,2020-03-14,26,6,135,28
ARA,2020-03-15,45,11,158,39
ARA,2020-03-16,108,23,228,60
ARA,2020-03-17,85,16,276,73
ARA,2020-03-18,213,15,394,84
ARA,2020-03-19,136,19,481,94
ARA,2020-03-20,178,22,600,105
ARA,2020-03-21,148,32,676,131
ARA,2020-03-22,185,45,791,172
ARA,2020-03-23,255,52,915,213
ARA,2020-03-24,250,60,1021,262
ARA,2020-03-25,322,77,1170,325
ARA,2020-03-26,354,80,1340,385
ARA,2020-03-27,397,78,1527,444
ARA,2020-03-28,262,68,1629,489
ARA,2020-03-29,254,65,1750,540
ARA,2020-03-30,354,77,1845,598
ARA,2020-03-31,316,62,1912,635
ARA,2020-04-01,242,56,1868,667
ARA,2020-04-02,290,38,1931,680
ARA,2020-04-03,268,60,1941,699
ARA,2020-04-04,198,37,1988,707
ARA,2020-04-05,153,30,2070,706
ARA,2020-04-06,231,35,2033,691
ARA,2020-04-07,199,32,1992,680
ARA,2020-04-08,174,34,1921,669
ARA,2020-04-09,208,25,1932,650
ARA,2020-04-10,206,27,1913,631
ARA,2020-04-11,111,18,1922,630
ARA,2020-04-12,93,15,1956,624
ARA,2020-04-13,116,11,1986,611
ARA,2020-04-14,163,23,1914,584
ARA,2020-04-15,164,26,1847,565
ARA,2020-04-16,131,23,1803,545
ARA,2020-04-17,140,15,1713,517
ARA,2020-04-18,95,15,1730,523
ARA,2020-04-19,58,11,1746,524
ARA,2020-04-20,122,15,1668,497
ARA,2020-04-21,111,10,1630,466
ARA,2020-04-22,104,8,1590,437
ARA,2020-04-23,98,11,1538,423
ARA,2020-04-24,91,4,1492,400
ARA,2020-04-25,53,5,1494,400
ARA,2020-04-26,44,7,1515,393
ARA,2020-04-27,75,5,1433,359
